"","hhid","ffexwkpc","lny","mothed","fathed","mothage","fathage","nutrsc1","qrpcorn","qrprice","popden","adeqvhh","rd1","rd2","rd3","cultarpc","avnetwth","electr"
"854",273,12.2315,2.857796,6,3,28.92778,31.875,5,3.968146,4.723894,223,4.155039,0,1,0,0.1354167,1558,0
"855",273,18.16108,2.857796,6,3,28.92778,32.25278,5,4.198514,5.639859,223,4.608527,0,0,1,0.1354167,1558,0
"856",273,21.10858,2.857796,6,3,28.92778,32.53889,5,4.086843,5.348992,223,4.608527,0,0,0,0.1354167,1558,0
"857",274,23.312,2.008622,6,6,29.91111,31.91111,5,3.064266,5.430829,120,3.612403,1,0,0,0.325,6644.5,0
"858",274,21.5832,2.008622,6,6,29.91111,32.19722,5,3.954979,4.997376,120,3.612403,0,1,0,0.325,6644.5,0
"859",274,33.14605,2.008622,6,6,29.91111,32.56111,5,4.169014,5.30206,120,2.976744,0,0,1,0.325,6644.5,0
"860",274,17.6753,2.008622,6,6,29.91111,32.85,5,2.892773,5.851454,120,3.817829,0,0,0,0.2708333,6644.5,0
"861",275,21.58345,3.488795,4,5,25.99444,27.61667,4,3.032734,5.112633,120,3.689923,1,0,0,0.125,664.5,0
"862",275,20.49067,3.488795,4,5,25.99444,27.89722,4,4.368867,4.693537,120,3.736434,0,1,0,0.125,664.5,0
"863",275,21.28898,3.488795,4,5,25.99444,28.26945,4,4.006215,4.617164,120,4.20155,0,0,1,0.125,664.5,0
"864",275,41.51212,3.488795,4,5,25.99444,28.55556,4,3.46691,5.526827,120,4.290698,0,0,0,0.125,664.5,0
"865",276,39.64203,3.453088,3,10,32.28611,36.12778,1,3.67,4.871961,120,7.046512,1,0,0,0.6,29881,1
"866",276,30.98212,3.453088,3,10,32.28611,36.40278,1,4.197024,5.611862,120,7.422481,0,1,0,0.6,29881,1
"867",276,53.4039,3.453088,3,10,32.28611,36.77778,1,3.923855,3.689185,120,7.511628,0,0,1,0.6,29881,1
"868",276,27.70436,3.453088,3,10,32.28611,37.06945,1,3.2571,5.372074,120,6.833333,0,0,0,0.6,29881,1
"869",277,18.73407,4.033133,4,8,28.96944,31.63611,5,3.016764,1.69886,120,4.337209,1,0,0,0.1875,3380.5,0
"870",277,12.15348,4.033133,4,8,28.96944,31.92778,5,4.375932,5.979935,120,4.337209,0,1,0,0.1607143,3380.5,0
"871",277,8.703035,4.033133,4,8,28.96944,32.30278,5,3.796036,4.908245,120,4.034883,0,0,1,0.1607143,3380.5,0
"872",277,13.98512,4.033133,4,8,28.96944,32.58889,5,3.490977,5.792152,120,4.670543,0,0,0,0.1607143,3380.5,0
"873",278,43.14333,2.82067,3,3,43.83333,40.33333,4,3.189505,5.598215,120,9.023255,1,0,0,0.2447917,5952.5,1
"874",278,16.63379,2.82067,3,3,43.83333,40.66667,4,4.348901,4.999301,120,9.767442,0,1,0,0.2447917,5952.5,1
"875",278,20.03134,2.82067,3,3,43.83333,41,4,3.796036,6.221231,120,9.922481,0,0,1,0.2447917,5952.5,1
"876",278,23.54123,2.82067,3,3,43.83333,41.33333,4,3.2571,5.590325,120,9.922481,0,0,0,0.2447917,5952.5,1
"877",279,19.10898,3.560707,8,4,37.10556,41.94445,15,2.31461,5.452639,120,6.093023,1,0,0,0.109375,2320,0
"878",279,7.951237,3.560707,8,4,37.10556,42.23611,15,4.022799,5.183315,120,6.093023,0,1,0,0.0972222,2320,0
"879",279,8.155483,3.560707,8,4,37.10556,42.59722,15,3.877098,4.937175,120,6.093023,0,0,1,0.109375,2320,0
"880",279,15.23291,3.560707,8,4,37.10556,42.88611,15,3.535076,5.844646,120,6.093023,0,0,0,0.109375,2320,0
"881",280,10.15076,3.257638,10,5,29.66667,29,3,3.352939,6.028345,120,5.5,1,0,0,0.140625,3167,0
"882",280,13.57438,3.257638,10,5,29.66667,29.28056,3,4.445204,6.249122,120,5.546512,0,1,0,0.140625,3167,0
"883",280,16.84605,3.257638,10,5,29.66667,29.65556,3,4.059573,5.967133,120,5.678295,0,0,1,0.140625,3167,0
"884",280,18.21873,3.257638,10,5,29.66667,29.94167,3,3.573496,5.991156,120,5.635659,0,0,0,0.140625,3167,0
"885",282,16.02107,3.158188,2,4,39.58333,47.5,5,3.002566,5.041336,120,7.205426,1,0,0,0.1,5157.5,0
"886",282,18.39485,3.158188,2,4,39.58333,47.83333,5,4.043333,4.609901,120,7.910853,0,1,0,0.1,5157.5,0
"887",282,13.22913,3.158188,2,4,39.58333,48.16667,5,4.185708,4.591392,120,7.910853,0,0,1,0.0909091,5157.5,0
"888",282,16.00657,3.158188,2,4,39.58333,48.5,5,3.463866,5.494631,120,7.910853,0,0,0,0.0909091,5157.5,0
"889",284,17.37057,3.733683,3,4,43.53889,42.35833,5,3.219348,5.785295,120,10.86047,1,0,0,0.2692308,29110.5,0
"890",284,14.47027,3.733683,3,4,43.53889,42.60833,5,4.339822,5.072679,120,10.86047,0,1,0,0.2692308,29110.5,0
"891",284,16.39488,3.733683,3,4,43.53889,42.98056,5,4.164937,5.134545,120,10.98837,0,0,1,0.2692308,29110.5,0
"892",284,23.96952,3.733683,3,4,43.53889,43.27222,5,3.444692,5.748453,120,10.98837,0,0,0,0.2692308,29110.5,0
"893",285,86.04,2.888072,5,4,34.59722,39.90833,6,2.929142,1.43947,120,7.364341,1,0,0,0.1,1124.5,0
"894",285,17.9401,2.888072,5,4,34.59722,40.16111,6,4.354333,5.004011,120,8,0,1,0,0.1,1124.5,0
"895",285,24.15742,2.888072,5,4,34.59722,40.53889,6,3.775306,4.766434,120,8,0,0,1,0.1,1124.5,0
"896",285,20.30506,2.888072,5,4,34.59722,40.82222,6,3.474465,5.711253,120,7.945736,0,0,0,0.1,1124.5,0
"897",286,27.38143,3.360209,1,3,38.625,38.16389,3,2.914467,6.075311,120,5.562016,1,0,0,0.1071429,142.5,0
"898",286,14.23386,3.360209,1,3,38.625,38.43889,3,3.873539,4.96429,120,5.562016,0,1,0,0.1071429,142.5,0
"899",286,12.71167,3.360209,1,3,38.625,38.81111,3,4.110202,4.764195,120,5.717054,0,0,1,0.1071429,142.5,0
"900",286,21.5191,3.360209,1,3,38.625,39.09444,3,3.397062,5.624344,120,4.972868,0,0,0,0.1071429,142.5,0
"901",287,19.08111,3.464194,4,4,36.83333,38.025,4,3.025944,5.252278,120,7.015504,1,0,0,0.2222222,6231.5,0
"902",287,12.56867,3.464194,4,4,36.83333,38.30278,4,4.358212,5.89342,120,7.391473,0,1,0,0.2222222,6231.5,0
"903",287,14.57492,3.464194,4,4,36.83333,38.67222,4,4.170048,5.997525,120,6.093023,0,0,1,0.2222222,6231.5,0
"904",287,16.20944,3.464194,4,4,36.83333,38.95833,4,3.608881,5.689417,120,7.600775,0,0,0,0.2222222,6231.5,0
"905",288,39.97739,3.204146,4,6,35.03889,36.98611,1,2.961655,5.152718,120,7.236434,1,0,0,0.125,1035,0
"906",288,26.82685,3.204146,4,6,35.03889,37.23611,1,4.309417,4.942472,120,7.612403,0,1,0,0.125,1035,0
"907",288,22.01641,3.204146,4,6,35.03889,37.60556,1,4.15317,7.199484,120,7.794574,0,0,1,0.125,1035,0
"908",288,25.13332,3.204146,4,6,35.03889,37.89444,1,3.44755,5.608397,120,7.624031,0,0,0,0.125,1035,0
"909",289,34.78193,4.255359,2,6,48.30833,44.81944,5,3.67,5.058789,120,3.833333,1,0,0,0.55,28397.5,1
"910",289,27.6165,4.255359,2,6,48.30833,45.075,5,4.267336,6.011472,120,3.833333,0,1,0,0.55,28397.5,1
"911",289,22.46239,4.255359,2,6,48.30833,45.45,5,4.105898,5.459753,120,3.833333,0,0,1,0.55,28397.5,1
"912",289,25.76116,4.255359,2,6,48.30833,45.74445,5,3.404916,5.814499,120,3.325581,0,0,0,0.55,28397.5,1
"913",290,21.23076,4.095683,7,4,36.78333,40.16111,7,3.058816,5.535902,120,4.023256,1,0,0,0.25,11772.5,0
"914",290,34.39982,4.095683,7,4,36.78333,40.41945,7,4.347396,6.022899,120,4.023256,0,1,0,0.25,11772.5,0
"915",290,33.1862,4.095683,7,4,36.78333,40.79722,7,4.190523,6.628555,120,4.023256,0,0,1,0.25,11772.5,0
"916",290,27.27912,4.095683,7,4,36.78333,41.08611,7,3.574532,5.763937,120,4.023256,0,0,0,0.25,11772.5,0
"917",291,21.10525,3.761807,4,4,27.33333,27.54444,4,3.04121,5.434425,120,2.887597,1,0,0,0.125,1075,0
"918",291,23.62787,3.761807,4,4,27.33333,27.80833,4,4.35241,4.930017,120,2.887597,0,1,0,0.125,1075,0
"919",291,18.95774,3.761807,4,4,27.33333,28.16667,4,3.790139,4.751465,120,2.887597,0,0,1,0.125,1075,0
"920",291,24.01308,3.761807,4,4,27.33333,28.45278,4,3.486102,5.750084,120,2.887597,0,0,0,0.125,1075,0
"921",292,23.41771,2.987008,7,11,29.16945,38.06667,9,3.091048,5.496871,120,11.46124,1,0,0,0.375,24158,0
"922",292,16.64519,2.987008,7,11,29.16945,38.35,9,5.457355,5.194939,120,12.18605,0,1,0,0.375,24158,0
"923",292,17.90402,2.987008,7,11,29.16945,38.71667,9,4.202193,5.878047,120,11.43411,0,0,1,0.375,24158,0
"924",292,11.11226,2.987008,7,11,29.16945,39.00556,9,3.183213,5.94554,120,11.48837,0,0,0,0.375,24158,0
"925",293,27.568,3.474497,9,8,24.09722,27.91944,8,3.373063,5.351908,120,3.395349,1,0,0,0.0375,787.5,0
"926",293,17.9027,3.474497,9,8,24.09722,28.25,8,4.052952,4.566785,120,3.395349,0,1,0,0.0375,787.5,0
"927",293,23.21283,3.474497,9,8,24.09722,28.61944,8,4.269618,5.01812,120,3.523256,0,0,1,0.0375,787.5,0
"928",293,25.86278,3.474497,9,8,24.09722,28.91111,8,3.578888,5.737243,120,3.523256,0,0,0,0.03125,787.5,0
"929",295,13.23608,3.191441,3,0,39.88889,41.50278,10,3.013682,5.55469,120,8.310078,1,0,0,0.2375,4558,0
"930",295,11.14618,3.191441,3,0,39.88889,41.79722,10,4.298817,4.543068,120,7.600775,0,1,0,0.2375,4558,0
"931",295,16.53231,3.191441,3,0,39.88889,42.19722,10,4.13166,5.004138,120,8.356589,0,0,1,0.2159091,4558,0
"932",295,21.6056,3.191441,3,0,39.88889,42.47778,10,3.417454,5.712101,120,8.511628,0,0,0,0.2159091,4558,0
"933",296,13.15853,3.557361,4,2,41.00278,42.73611,13,3.230752,5.63773,120,7.51938,1,0,0,0,5339.5,1
"934",296,16.12406,3.557361,4,2,41.00278,43.03889,13,4.178859,4.952274,120,8.33721,0,1,0,0,5339.5,1
"935",296,21.86429,3.557361,4,2,41.00278,43.43333,13,4.21212,4.78194,120,8.33721,0,0,1,0,5339.5,1
"936",296,17.15626,3.557361,4,2,41.00278,43.71945,13,3.47025,5.765522,120,8.33721,0,0,0,0,5339.5,1
"937",297,23.83925,3.126055,4,6,28.90278,33.69445,12,3.060024,5.465559,120,6.18217,1,0,0,0,78.5,0
"938",297,6.535366,3.126055,4,6,28.90278,34.00834,12,4.359552,5.041118,120,6.18217,0,1,0,0,78.5,0
"939",297,11.28684,3.126055,4,6,28.90278,34.38889,12,4.179681,5.35426,120,6.337209,0,0,1,0,78.5,0
"940",297,16.03246,3.126055,4,6,28.90278,34.66667,12,3.471778,5.6993,120,6.337209,0,0,0,0,78.5,0
"941",298,11.83742,3.729296,2,2,41.22222,43.62778,10,3.233092,5.411457,120,4.403101,1,0,0,0.0267857,317.5,0
